time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-05-27 00:00:05,26.7,75.09,1000.54,1105.86,79.8,79.87,79.8
2023-05-27 00:06:05,26.68,75.16,1000.39,1103.32,79.86,79.86,79.93
2023-05-27 00:12:05,26.69,75.23,1000.47,1106.53,80.33,80.33,80.33
2023-05-27 00:18:05,26.67,75.37,1000.46,1102.43,80.07,80.14,80.07
2023-05-27 00:24:05,26.66,75.37,1000.53,1097.22,80.27,80.27,80.27
2023-05-27 00:30:05,26.64,75.37,1000.49,1058.98,80.26,80.26,80.26
2023-05-27 00:36:05,26.61,75.5,1000.39,1005.23,80.27,80.27,80.34
2023-05-27 00:42:05,26.62,75.54,1000.28,974.86,80.26,80.26,80.26
2023-05-27 00:48:05,26.61,75.74,1000.14,966.1,80.34,80.27,80.34
2023-05-27 00:54:05,26.59,75.73,1000.13,966.99,80.33,80.33,80.33
2023-05-27 01:00:05,26.58,75.71,1000.11,964.66,80.34,80.41,80.34
2023-05-27 01:06:05,26.59,75.77,1000.07,964.66,80.66,80.68,80.68
2023-05-27 01:12:05,26.52,76.01,1000.13,963.77,80.61,80.61,80.61
2023-05-27 01:18:05,26.56,75.97,1000.11,963.77,80.34,80.41,80.34
2023-05-27 01:24:05,26.54,75.9,1000.13,964.33,80.46,80.46,80.46
2023-05-27 01:30:05,26.53,75.94,1000.09,966.99,80.47,80.47,80.47
2023-05-27 01:36:05,26.53,76.11,1000.05,966.1,80.47,80.47,80.41
2023-05-27 01:42:05,26.54,76.13,1000.11,965.21,80.54,80.54,80.54
2023-05-27 01:48:05,26.42,76.5,1000.22,966.1,80.47,80.54,80.54
2023-05-27 01:54:05,26.49,76.32,1000.2,965.21,80.59,80.59,80.59
2023-05-27 02:00:05,26.51,76.36,1000.21,965.21,80.61,80.68,80.68
2023-05-27 02:06:05,26.51,76.37,1000.2,966.1,80.61,80.61,80.68
2023-05-27 02:12:05,26.51,76.27,1000.15,965.21,80.61,80.61,80.61
2023-05-27 02:18:05,26.51,76.38,1000.19,967.54,80.95,80.95,80.92
2023-05-27 02:24:05,26.49,76.35,1000.21,967.54,80.81,80.81,80.81
2023-05-27 02:30:05,26.49,76.32,1000.2,972.2,80.74,80.74,80.74
2023-05-27 02:36:05,26.45,76.23,1000.16,969.87,80.53,80.46,80.53
2023-05-27 02:42:05,26.43,76.34,1000.14,971.53,80.33,80.39,80.33
2023-05-27 02:48:05,26.42,76.22,1000.12,975.08,80.34,80.27,80.34
2023-05-27 02:54:05,26.41,76.25,1000.11,976.85,80.47,80.41,80.41
2023-05-27 03:00:05,26.39,76.23,1000.09,971.53,80.54,80.54,80.54
2023-05-27 03:06:05,26.4,76.21,1000.09,972.2,80.59,80.59,80.59
2023-05-27 03:12:05,26.43,76.21,1000.16,969.87,80.68,80.68,80.74
2023-05-27 03:18:05,26.47,76.19,1000.28,968.98,80.66,80.68,80.66
2023-05-27 03:24:05,26.48,76.27,1000.29,968.09,80.74,80.74,80.74
2023-05-27 03:30:05,26.45,76.38,1000.28,972.2,80.79,80.79,80.72
2023-05-27 03:36:05,26.48,76.34,1000.3,968.98,81.01,81.08,81.08
2023-05-27 03:42:05,26.5,76.37,1000.2,971.53,81.28,81.28,81.22
2023-05-27 03:48:05,26.42,76.71,1000.3,978.29,81.35,81.35,81.35
2023-05-27 03:54:05,26.5,76.62,1000.31,988.82,81.42,81.35,81.35
2023-05-27 09:04:23,40.49,22.11,1000.45,3454.0,100.0,92.57,100.0
2023-05-27 09:09:05,34.71,30.45,1000.38,4757.31,100.0,92.06,100.0
2023-05-27 09:14:05,33.21,30.3,1000.43,4751.11,100.0,91.4,100.0
2023-05-27 09:19:05,32.37,32.71,1000.37,4769.41,100.0,91.14,100.0
2023-05-27 09:24:05,32.14,35.85,1000.37,4798.47,99.61,90.79,100.0
2023-05-27 09:29:05,31.89,32.77,1000.35,4832.17,100.0,91.36,100.0
2023-05-27 09:34:05,31.69,32.92,1000.36,4942.36,99.47,91.86,100.0
2023-05-27 09:39:05,31.6,34.67,1000.31,5038.75,99.38,92.0,100.0
2023-05-27 09:44:05,31.5,35.04,1000.26,5318.68,99.14,92.21,100.0
2023-05-27 09:49:05,31.72,33.51,1000.25,4759.46,99.24,92.57,100.0
2023-05-27 09:54:05,31.41,34.03,1000.19,4695.61,99.02,92.57,100.0
2023-05-27 09:59:05,31.21,35.75,1000.2,4649.19,97.35,93.68,100.0
2023-05-27 10:04:05,31.06,33.39,1000.22,4643.31,97.73,93.38,100.0
2023-05-27 10:09:05,30.95,35.7,1000.21,4594.19,98.52,93.09,100.0
2023-05-27 10:14:05,31.27,32.56,1000.13,4571.16,98.11,93.31,100.0
2023-05-27 10:19:05,31.12,38.1,1000.11,4460.02,97.73,93.56,100.0
2023-05-27 10:24:05,30.92,33.62,1000.05,4264.19,97.5,93.75,100.0
2023-05-27 10:29:05,31.12,40.99,1000.01,4766.23,97.65,94.7,100.0
2023-05-27 10:34:05,31.1,31.69,999.96,4817.43,97.8,96.03,100.0
2023-05-27 10:39:05,31.52,36.76,999.98,5027.83,97.95,97.12,100.0
2023-05-27 10:44:05,31.39,35.03,1000.0,5101.32,98.41,98.48,100.0
2023-05-27 10:49:05,31.27,36.83,1000.03,5229.62,98.48,98.48,100.0
2023-05-27 10:54:05,30.48,39.03,999.98,5281.2,100.0,100.0,100.0
2023-05-27 10:59:05,30.47,37.76,1000.0,5474.01,100.0,100.0,100.0
2023-05-27 11:04:05,30.09,38.44,1000.02,6161.01,99.14,99.17,100.0
2023-05-27 11:09:05,30.38,40.4,1000.04,39681.54,99.3,99.24,100.0
2023-05-27 11:14:05,30.48,39.54,1000.02,7489.44,99.14,99.14,100.0
2023-05-27 11:19:05,30.74,37.15,999.98,10110.34,99.24,99.22,100.0
2023-05-27 11:24:05,30.53,40.2,999.98,11306.42,99.77,99.77,100.0
2023-05-27 11:29:05,30.7,36.64,999.94,11892.9,100.0,100.0,100.0
2023-05-27 11:34:05,31.38,40.65,999.97,11486.36,100.0,100.0,100.0
2023-05-27 11:39:05,32.68,34.09,999.98,42853.9,100.0,100.0,100.0
2023-05-27 11:44:05,34.72,27.45,1000.04,38041.85,100.0,100.0,100.0
2023-05-27 11:49:05,35.77,28.66,999.95,38041.85,100.0,100.0,100.0
2023-05-27 11:54:05,34.1,31.24,999.89,38924.89,100.0,100.0,100.0
2023-05-27 11:59:05,31.09,36.91,999.83,6423.43,100.0,100.0,100.0
2023-05-27 12:04:05,29.23,39.03,999.79,5559.03,100.0,100.0,100.0
2023-05-27 12:09:05,29.1,39.23,999.83,5436.05,99.7,99.7,100.0
2023-05-27 12:14:05,29.08,40.83,999.87,5467.33,99.38,99.38,100.0
2023-05-27 12:19:05,28.78,44.83,999.81,5478.72,99.45,99.45,100.0
2023-05-27 12:24:05,28.66,43.57,999.74,5435.64,99.39,99.39,100.0
2023-05-27 12:29:05,28.2,43.74,999.66,5367.6,99.32,99.24,100.0
2023-05-27 12:34:05,28.0,41.18,999.66,5321.31,99.38,99.38,100.0
2023-05-27 12:39:05,27.37,42.86,999.57,5295.64,99.38,99.3,100.0
2023-05-27 12:44:05,27.22,40.92,999.52,5244.11,99.3,99.3,100.0
2023-05-27 12:49:05,27.46,45.41,999.49,5141.98,99.45,99.38,100.0
2023-05-27 12:54:05,27.37,42.24,999.43,5099.95,99.45,99.53,100.0
2023-05-27 12:59:05,27.12,38.73,999.4,4992.41,99.47,99.47,100.0
2023-05-27 13:04:05,27.21,41.86,999.33,4934.52,99.61,99.61,100.0
2023-05-27 13:09:05,26.89,40.96,999.39,4859.07,99.53,99.53,100.0
2023-05-27 13:14:05,26.39,45.29,999.36,4541.59,99.77,99.77,100.0
2023-05-27 13:19:05,26.65,40.37,999.34,4525.53,99.69,99.69,100.0
2023-05-27 13:24:05,26.29,51.8,999.35,3734.9,99.84,99.84,100.0
2023-05-27 13:29:05,26.97,59.38,999.32,3679.06,100.0,100.0,100.0
2023-05-27 13:34:05,27.3,62.06,999.27,3588.91,100.0,100.0,100.0
2023-05-27 13:39:05,27.41,57.46,999.23,3596.84,100.0,100.0,100.0
2023-05-27 13:44:05,27.37,62.62,999.16,3538.03,100.0,100.0,100.0
2023-05-27 13:49:05,27.54,60.39,999.19,3468.89,100.0,100.0,100.0
2023-05-27 13:54:05,27.47,63.07,999.22,3426.96,99.69,99.3,100.0
2023-05-27 13:59:05,27.37,63.28,999.21,3387.29,99.53,97.73,100.0
2023-05-27 14:04:05,27.47,65.43,999.25,3343.16,100.0,97.42,100.0
2023-05-27 14:09:05,27.47,64.84,999.27,3319.38,100.0,96.14,100.0
2023-05-27 14:14:05,27.38,63.81,999.24,3265.35,100.0,95.98,100.0
2023-05-27 14:19:05,27.28,61.58,999.24,3208.57,100.0,95.68,100.0
2023-05-27 14:24:05,27.31,63.7,999.26,3144.22,100.0,94.93,100.0
2023-05-27 14:29:05,27.31,65.63,999.16,3121.89,100.0,94.7,100.0
2023-05-27 14:34:05,27.27,64.22,999.32,3063.5,100.0,94.56,100.0
2023-05-27 14:39:05,27.25,61.73,999.31,2999.99,100.0,94.63,100.0
2023-05-27 14:44:05,27.12,62.96,999.38,2976.72,100.0,94.7,100.0
2023-05-27 14:49:05,27.04,62.48,999.36,2908.74,100.0,94.71,100.0
2023-05-27 14:54:05,26.9,63.06,999.35,2833.52,100.0,94.71,100.0
2023-05-27 14:59:05,26.99,61.79,999.35,3288.21,100.0,94.85,100.0
2023-05-27 15:04:05,27.12,64.36,999.39,3448.55,100.0,95.15,100.0
2023-05-27 15:09:05,27.43,66.46,999.38,3807.64,100.0,95.22,100.0
2023-05-27 15:14:05,27.79,63.4,999.3,4122.87,100.0,95.37,100.0
2023-05-27 15:19:05,28.11,61.69,999.28,4186.89,100.0,95.53,100.0
2023-05-27 15:24:05,28.1,62.17,999.37,3858.32,100.0,95.91,100.0
2023-05-27 15:29:05,27.86,63.43,999.3,3640.36,100.0,96.06,100.0
2023-05-27 15:34:05,28.19,62.6,999.33,3310.02,100.0,96.03,100.0
2023-05-27 15:39:05,27.53,63.94,999.34,2604.18,100.0,96.06,100.0
2023-05-27 15:44:05,26.7,65.7,999.25,2183.36,100.0,95.83,100.0
2023-05-27 15:49:05,26.31,64.59,999.29,2132.33,100.0,96.14,100.0
2023-05-27 15:54:05,26.61,67.18,999.29,2311.08,100.0,96.21,100.0
2023-05-27 15:59:05,26.89,67.42,999.26,2262.43,100.0,97.35,100.0
2023-05-27 16:04:05,26.71,66.51,999.22,2057.21,100.0,97.65,100.0
2023-05-27 16:09:05,26.49,67.14,999.28,1835.55,100.0,97.73,100.0
2023-05-27 16:14:05,26.21,65.29,999.31,1814.71,100.0,97.65,100.0
2023-05-27 16:19:05,26.12,68.18,999.26,1643.72,100.0,98.05,100.0
2023-05-27 16:24:05,25.84,69.96,999.27,1548.3,100.0,97.95,100.0
2023-05-27 16:29:05,25.73,71.17,999.31,1480.17,100.0,97.88,100.0
2023-05-27 16:34:05,25.6,69.29,999.28,1369.48,100.0,97.81,100.0
2023-05-27 16:39:05,25.35,70.54,999.23,1275.72,100.0,98.03,100.0
2023-05-27 16:44:05,25.22,71.63,999.25,1173.27,100.0,97.97,100.0
