time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-06-02 00:02:05,22.04,76.48,999.58,0.0,47.45,0,0
2023-06-02 00:07:05,22.04,76.93,999.59,0.0,43.02,0,0
2023-06-02 00:12:05,21.99,77.68,999.56,0.0,39.45,0,0
2023-06-02 00:17:05,21.95,77.72,999.51,0.0,37.59,0,0
2023-06-02 00:22:05,21.97,77.49,999.51,0.0,37.54,0,0
2023-06-02 00:27:05,21.82,77.95,999.45,0.0,37.37,0,0
2023-06-02 00:32:05,21.91,78.48,999.39,0.0,36.18,0,0
2023-06-02 00:37:05,21.87,78.18,999.32,0.0,37.63,0,0
2023-06-02 00:42:05,21.91,77.95,999.3,0.0,37.77,0,0
2023-06-02 00:47:05,21.9,77.17,999.27,0.0,43.35,0,0
2023-06-02 00:52:05,21.8,76.29,999.23,0.0,49.15,0,0
2023-06-02 00:57:05,21.83,76.62,999.3,0.0,46.76,0,0
2023-06-02 01:02:05,21.77,77.05,999.2,0.0,43.07,0,0
2023-06-02 01:07:05,21.72,78.37,999.29,0.0,44.47,0,0
2023-06-02 01:12:05,21.64,76.94,999.3,0.0,43.7,0,0
2023-06-02 01:17:05,21.59,77.6,999.25,0.0,47.4,0,0
2023-06-02 01:22:05,21.62,76.87,999.21,0.0,45.49,0,0
2023-06-02 01:27:05,21.69,77.57,999.2,0.0,47.06,0,0
2023-06-02 01:32:05,21.65,77.02,999.2,0.0,47.95,0,0
2023-06-02 01:37:05,21.56,77.65,999.24,0.0,49.05,0,0
2023-06-02 01:42:05,21.56,78.05,999.21,0.0,45.1,0,0
2023-06-02 01:47:05,21.44,77.97,999.2,0.0,46.18,0,0
2023-06-02 01:52:05,21.41,78.13,999.14,0.0,40.46,0,0
2023-06-02 01:57:05,21.41,78.49,999.13,0.0,42.55,0,0
2023-06-02 02:02:05,21.37,78.61,999.15,0.0,41.84,0,0
2023-06-02 02:07:05,21.34,79.02,999.24,0.0,38.55,0,0
2023-06-02 02:12:05,21.33,79.47,999.21,0.0,35.56,0,0
2023-06-02 02:17:05,21.28,80.02,999.19,0.0,32.97,0,0
2023-06-02 02:22:05,21.32,79.97,999.27,0.0,30.61,0,0
2023-06-02 02:27:05,21.3,80.57,999.26,0.0,29.64,0,0
2023-06-02 02:32:05,21.14,80.8,999.24,0.0,29.35,0,0
2023-06-02 02:37:05,21.24,80.87,999.23,0.0,29.35,0,0
2023-06-02 02:42:05,21.26,80.8,999.24,0.0,30.29,0,0
2023-06-02 02:47:05,21.24,81.2,999.23,0.0,29.92,0,0
2023-06-02 02:52:05,21.22,81.9,999.2,0.0,31.07,0,0
2023-06-02 02:57:05,21.21,81.44,999.15,0.0,35.09,0,0
2023-06-02 03:02:05,21.2,81.6,999.11,0.0,36.49,0,0
2023-06-02 03:07:05,21.11,81.81,999.22,0.0,39.5,0,0
2023-06-02 03:12:05,21.12,82.14,999.2,0.0,42.22,0,0
2023-06-02 03:17:05,21.12,82.56,999.2,0.0,43.8,0,0
2023-06-02 03:22:05,21.06,82.93,999.24,0.89,49.39,0,0
2023-06-02 03:27:05,21.05,82.82,999.25,1.16,47.45,0,0
2023-06-02 03:32:05,21.06,82.57,999.19,1.35,48.42,0,0
2023-06-02 03:37:05,21.1,82.87,999.29,7.16,49.13,0,0
2023-06-02 03:42:05,21.02,82.96,999.31,10.4,40.74,0,0
2023-06-02 03:47:05,21.04,83.36,999.3,24.77,52.66,0,0
2023-06-02 03:52:05,21.09,83.16,999.42,40.43,71.25,0,0
2023-06-02 03:57:05,21.14,83.45,999.43,55.23,85.69,0,0
2023-06-02 04:02:05,21.02,83.32,999.47,90.02,88.5,0,0
2023-06-02 04:07:05,21.05,83.47,999.49,118.51,82.77,0,0
2023-06-02 04:12:05,20.99,83.69,999.52,147.0,77.7,0,0
2023-06-02 04:17:05,21.01,83.57,999.56,183.26,77.31,0,0
2023-06-02 04:22:05,21.08,83.65,999.49,218.17,68.21,0,0
2023-06-02 04:27:05,21.12,84.44,999.56,249.59,70.43,0,0
2023-06-02 04:32:05,21.13,83.36,999.6,280.6,64.4,0,0
2023-06-02 04:37:05,21.11,82.95,999.63,311.78,58.94,0,0
2023-06-02 04:42:05,21.24,82.97,999.68,351.34,56.3,0,0
2023-06-02 04:47:05,21.31,83.69,999.65,376.72,57.23,0,0
2023-06-02 04:52:05,21.36,84.11,999.59,412.55,55.21,0,0
2023-06-02 04:57:05,21.33,83.56,999.6,435.97,53.46,0,0
2023-06-02 05:02:05,21.49,82.83,999.52,462.51,56.79,0,0
2023-06-02 05:07:05,21.53,82.9,999.48,489.47,55.43,0,0
2023-06-02 05:12:05,21.63,80.68,999.5,532.59,55.82,0,0
2023-06-02 05:17:05,21.76,83.03,999.56,637.73,52.14,0,0
