time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-06-04 00:02:05,27.77,71.92,1001.81,823.12,96.89,0,0
2023-06-04 00:07:05,27.76,71.56,1001.77,822.24,97.05,0,0
2023-06-04 00:12:05,27.74,71.56,1001.81,822.79,97.2,0,0
2023-06-04 00:17:05,27.74,71.7,1001.81,823.68,97.05,0,0
2023-06-04 00:22:05,27.74,71.66,1001.78,822.24,97.05,0,0
2023-06-04 00:27:05,27.71,71.44,1001.67,823.12,97.27,0,0
2023-06-04 00:32:05,27.71,72.1,1001.72,823.68,97.65,0,0
2023-06-04 00:37:05,27.7,71.83,1001.67,822.79,96.82,0,0
2023-06-04 00:42:05,27.68,71.85,1001.59,823.12,96.89,0,0
2023-06-04 00:47:05,27.69,71.71,1001.64,823.68,96.36,0,0
2023-06-04 00:52:05,27.68,71.64,1001.65,823.68,96.59,0,0
2023-06-04 00:57:05,27.67,72.02,1001.62,822.24,96.69,0,0
2023-06-04 01:02:05,27.68,71.58,1001.75,822.79,97.05,0,0
2023-06-04 01:07:05,27.69,72.46,1001.66,823.68,96.29,0,0
2023-06-04 01:12:05,27.69,71.58,1001.6,822.79,95.96,0,0
2023-06-04 01:17:05,27.7,72.1,1001.61,824.56,95.76,0,0
2023-06-04 01:22:05,27.68,72.27,1001.62,823.12,96.14,0,0
2023-06-04 01:27:05,27.7,72.12,1001.57,823.68,96.06,0,0
2023-06-04 01:32:05,27.69,71.93,1001.49,822.79,96.25,0,0
2023-06-04 01:37:05,27.69,72.18,1001.36,823.68,96.14,0,0
2023-06-04 01:42:05,27.69,72.04,1001.37,823.68,96.82,0,0
2023-06-04 01:47:05,27.7,72.56,1001.33,824.56,96.59,0,0
2023-06-04 01:52:05,27.69,72.19,1001.34,822.24,96.4,0,0
2023-06-04 01:57:05,27.68,71.92,1001.32,823.68,96.47,0,0
2023-06-04 02:02:05,27.68,72.02,1001.39,822.24,96.89,0,0
2023-06-04 02:07:05,27.67,71.92,1001.35,823.68,96.74,0,0
2023-06-04 02:12:05,27.67,72.46,1001.4,823.12,96.82,0,0
2023-06-04 02:17:05,27.66,71.85,1001.4,823.68,96.29,0,0
2023-06-04 02:22:05,27.65,71.45,1001.36,821.35,96.69,0,0
2023-06-04 02:27:05,27.63,72.08,1001.35,823.68,96.74,0,0
2023-06-04 02:32:05,27.64,71.95,1001.4,821.35,96.89,0,0
2023-06-04 02:37:05,27.63,71.72,1001.5,823.12,97.12,0,0
2023-06-04 02:42:05,27.62,72.42,1001.57,823.12,96.82,0,0
2023-06-04 02:47:05,27.63,71.73,1001.52,823.68,96.89,0,0
2023-06-04 02:52:05,27.63,72.72,1001.43,822.24,96.89,0,0
2023-06-04 02:57:05,27.61,72.37,1001.41,822.24,97.42,0,0
2023-06-04 03:02:05,27.61,72.68,1001.44,821.35,96.97,0,0
2023-06-04 03:07:05,27.64,71.96,1001.41,822.24,96.97,0,0
2023-06-04 03:12:05,27.61,72.44,1001.43,822.24,97.05,0,0
2023-06-04 03:17:05,27.61,72.64,1001.36,823.68,97.12,0,0
2023-06-04 03:22:05,27.62,72.46,1001.4,822.24,96.97,0,0
2023-06-04 03:27:05,27.61,72.49,1001.4,823.12,97.12,0,0
