time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-05-26 09:18:16,25.42,53.14,1000.87,44.1,53.3,0,0
2023-05-26 09:18:30,25.49,52.62,1000.88,46.42,53.72,0,0
2023-05-26 10:03:22,27.38,47.33,1001.15,48.74,52.55,0,0
2023-05-26 10:05:11,27.91,45.2,1001.12,49.72,52.14,0,0
2023-05-26 10:07:03,28.58,43.57,1001.17,47.4,51.77,0,0
2023-05-26 10:26:58,24.49,55.69,1001.24,23.37,51.73,0,0
2023-05-26 10:29:18,26.95,49.42,1001.33,14.86,50.26,0,0
2023-05-26 10:34:05,23.59,59.51,1001.26,15.66,50.2,0,0
2023-05-26 10:39:05,22.7,63.01,1001.36,13.33,50.26,0,0
2023-05-26 10:44:05,22.55,63.56,1001.42,14.31,50.31,0,0
2023-05-26 10:49:05,22.51,63.88,1001.55,25.75,50.2,0,0
2023-05-26 10:54:05,22.39,63.57,1001.49,31.55,50.2,0,0
2023-05-26 10:59:05,22.34,64.91,1001.53,31.74,50.21,0,0
2023-05-26 18:58:26,22.96,55.08,1000.85,44.32,30.08,0,0
2023-05-26 19:03:05,22.7,55.06,1000.89,45.75,29.44,0,0
2023-05-26 19:08:05,23.5,52.07,1000.92,59.55,30.08,0,0
2023-05-26 19:13:05,24.33,50.68,1000.93,60.44,30.78,5.19,0.28
2023-05-26 19:18:05,24.82,50.91,1001.01,60.44,25.23,9.07,0.0
2023-05-26 19:23:05,25.22,56.43,1000.99,35.55,0.0,0.0,0.0
2023-05-26 19:28:05,26.09,48.76,1000.97,3.43,0.0,0.0,0.0
2023-05-26 19:31:14,27.27,47.9,1001.02,0.89,0.0,5.06,0.0
2023-05-26 19:32:06,27.8,48.42,1001.01,6.16,0.0,0.0,0.0
2023-05-26 19:37:05,26.07,54.39,1001.12,978.52,76.15,76.15,76.15
2023-05-26 19:42:05,25.67,58.97,1001.06,124.23,76.47,76.47,76.47
2023-05-26 19:47:05,25.64,61.23,1001.08,835.65,76.51,76.51,76.58
2023-05-26 19:52:05,25.64,62.97,1001.13,975.08,76.64,76.64,76.64
2023-05-26 19:57:05,25.68,64.42,1001.16,972.41,76.64,76.64,76.71
2023-05-26 20:02:05,25.73,65.28,1001.15,972.2,76.73,76.73,76.73
2023-05-26 20:07:05,25.74,66.05,1001.19,972.53,76.84,76.78,76.84
2023-05-26 20:12:05,25.74,66.6,1001.15,972.53,76.91,76.99,76.91
2023-05-26 20:18:05,26.08,66.21,1001.23,973.42,76.91,76.86,76.91
2023-05-26 20:24:05,26.16,66.25,1001.24,975.19,76.86,76.92,76.92
2023-05-26 20:30:05,26.23,66.44,1001.24,975.74,76.97,77.04,77.04
2023-05-26 20:36:05,26.29,66.75,1001.3,976.63,77.11,77.11,77.11
2023-05-26 20:42:05,26.33,67.05,1001.33,986.83,77.17,77.18,77.18
2023-05-26 20:48:05,26.36,67.23,1001.34,1042.24,77.17,77.17,77.17
2023-05-26 20:54:05,26.4,67.58,1001.34,1102.43,77.24,77.31,77.24
2023-05-26 21:00:05,26.44,67.8,1001.31,1109.41,77.37,77.37,77.37
2023-05-26 21:06:05,26.49,68.33,1001.29,1110.3,77.7,77.69,77.7
2023-05-26 21:12:05,26.56,68.76,1001.27,1107.64,77.76,77.76,77.76
2023-05-26 21:18:05,26.62,68.78,1001.32,1106.2,78.09,78.09,78.09
2023-05-26 21:24:05,26.53,69.56,1001.25,1107.64,78.22,78.16,78.16
2023-05-26 21:30:05,26.68,69.75,1001.29,1107.64,78.29,78.29,78.29
2023-05-26 21:36:05,26.71,70.06,1001.28,1107.64,78.62,78.62,78.62
2023-05-26 21:42:05,26.73,70.24,1001.24,1107.64,78.29,78.36,78.29
2023-05-26 21:48:05,26.74,70.48,1001.31,1107.42,78.42,78.42,78.49
2023-05-26 21:54:05,26.76,70.75,1001.27,1108.52,78.36,78.36,78.36
2023-05-26 22:00:05,26.78,70.96,1001.24,1106.53,78.42,78.49,78.42
2023-05-26 22:06:05,26.77,71.3,1001.25,1106.53,78.49,78.49,78.49
2023-05-26 22:12:05,26.79,71.47,1001.21,1107.64,78.78,78.72,78.72
2023-05-26 22:18:05,26.78,71.76,1001.15,1106.87,78.62,78.68,78.68
2023-05-26 22:24:05,26.79,71.97,1001.1,1106.87,78.62,78.68,78.68
2023-05-26 22:30:05,26.8,72.12,1001.04,1107.42,78.68,78.68,78.68
2023-05-26 22:36:05,26.8,72.25,1001.06,1106.53,78.75,78.75,78.75
2023-05-26 22:42:05,26.8,72.5,1001.03,1106.87,78.88,78.82,78.88
2023-05-26 22:48:05,26.78,72.68,1000.88,1106.87,78.95,79.01,78.95
2023-05-26 22:54:05,26.77,72.87,1000.77,1106.87,79.05,79.05,79.05
2023-05-26 22:59:05,26.47,74.07,1000.75,1106.53,79.14,79.08,79.14
2023-05-26 23:06:05,26.74,73.6,1000.76,1111.19,79.46,79.39,79.46
2023-05-26 23:12:05,26.75,73.62,1000.75,1119.05,79.39,79.32,79.39
2023-05-26 23:18:05,26.75,73.76,1000.79,1116.17,79.41,79.41,79.41
2023-05-26 23:24:05,26.75,73.94,1000.77,1117.61,79.47,79.41,79.41
2023-05-26 23:30:05,26.74,74.15,1000.66,1113.85,79.53,79.53,79.53
2023-05-26 23:36:05,26.74,74.46,1000.57,1112.96,79.53,79.53,79.53
2023-05-26 23:42:05,26.72,74.56,1000.51,1119.94,79.66,79.59,79.59
2023-05-26 23:48:05,26.72,74.69,1000.54,1120.83,79.8,79.8,79.8
2023-05-26 23:54:05,26.71,74.83,1000.51,1112.96,80.07,80.07,80.07
