time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-05-30 00:00:05,20.35,79.82,997.71,0.0,66.67,0,0
2023-05-30 00:05:05,20.41,80.76,997.76,0.0,66.67,0,0
2023-05-30 00:10:05,20.41,79.49,997.74,0.0,66.55,0,0
2023-05-30 00:15:05,20.42,79.66,997.63,0.0,67.44,0,0
2023-05-30 00:20:05,20.44,81.89,997.65,0.0,66.77,0,0
2023-05-30 00:25:05,20.39,78.11,997.66,0.0,66.65,0,0
2023-05-30 00:30:05,20.33,79.27,997.59,0.0,66.61,0,0
2023-05-30 00:35:05,20.3,78.88,997.49,0.0,66.61,0,0
2023-05-30 00:40:05,20.32,81.15,997.53,0.0,66.61,0,0
2023-05-30 00:45:05,20.3,79.82,997.52,0.0,66.59,0,0
2023-05-30 00:50:05,20.32,80.37,997.49,0.0,66.61,0,0
2023-05-30 00:55:05,20.33,81.16,997.64,0.0,66.55,0,0
2023-05-30 01:00:05,20.29,77.99,997.63,0.0,66.61,0,0
2023-05-30 01:05:05,20.27,76.81,997.61,0.0,66.55,0,0
2023-05-30 01:10:05,20.27,78.24,997.66,0.0,66.55,0,0
2023-05-30 01:15:05,20.25,77.28,997.72,0.0,66.61,0,0
2023-05-30 01:20:05,20.27,78.25,997.65,0.0,66.61,0,0
2023-05-30 01:25:05,20.25,77.93,997.58,0.0,66.61,0,0
2023-05-30 01:30:05,20.22,79.2,997.64,0.0,66.61,0,0
2023-05-30 01:35:05,20.16,77.98,997.64,0.0,66.61,0,0
2023-05-30 01:40:05,20.08,79.04,997.61,0.0,66.61,0,0
2023-05-30 01:45:05,20.1,80.19,997.6,0.0,66.59,0,0
2023-05-30 01:50:05,20.05,81.83,997.64,0.0,66.61,0,0
2023-05-30 01:55:05,20.02,82.52,997.66,0.0,66.61,0,0
2023-05-30 02:00:05,19.98,83.01,997.63,0.0,66.59,0,0
2023-05-30 02:05:05,20.02,82.99,997.55,0.0,66.67,0,0
2023-05-30 02:10:05,19.99,82.82,997.58,0.0,66.67,0,0
2023-05-30 02:15:05,19.98,83.04,997.63,0.0,66.73,0,0
2023-05-30 02:20:05,20.03,82.21,997.59,0.0,66.61,0,0
2023-05-30 02:25:05,20.05,81.88,997.57,0.0,66.59,0,0
2023-05-30 02:30:05,20.03,81.19,997.64,0.0,66.61,0,0
2023-05-30 02:35:05,20.01,81.42,997.67,0.0,66.67,0,0
2023-05-30 02:40:05,20.02,82.39,997.69,0.0,66.67,0,0
2023-05-30 02:45:05,20.08,85.24,997.68,0.0,66.67,0,0
2023-05-30 02:50:05,20.09,83.3,997.72,0.0,66.67,0,0
2023-05-30 02:55:05,20.07,83.02,997.82,0.0,66.61,0,0
2023-05-30 03:00:05,20.08,84.97,997.88,0.0,66.67,0,0
2023-05-30 03:05:05,20.09,84.98,997.81,0.0,66.67,0,0
2023-05-30 03:10:05,20.08,84.62,997.81,0.0,66.61,0,0
2023-05-30 03:15:05,20.1,84.67,997.73,0.0,66.61,0,0
2023-05-30 03:20:05,20.2,85.7,997.67,0.0,66.61,0,0
2023-05-30 03:25:05,20.17,84.27,997.71,0.89,66.55,0,0
2023-05-30 03:30:05,20.15,84.51,997.8,1.16,66.61,0,0
2023-05-30 03:35:05,20.11,84.74,997.8,2.32,66.61,0,0
2023-05-30 03:40:05,20.1,84.9,997.77,7.95,66.55,0,0
2023-05-30 03:45:05,20.11,84.89,997.86,6.36,66.55,0,0
